Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number,AminDate,AminDate2,AminDate3
5/8/2015,CADI,LL,,BLK,S698455,IL,701 N. Sacramento,(773) 265-7605,6817349,20150518,20162006,10212017
5/8/2015,CHEV,2D,,WHI,S385101,IL,10300 S. Doty,(773) 568-8495,2763726,20150518,20162006,10212017
5/8/2015,CHEV,4D,,WHI,V517231,IL,701 N. Sacramento,(773) 265-7605,6817346,20150518,20162006,10212017
5/8/2015,CHEV,4D,,BLK,V280520,IL,701 N. Sacramento,(773) 265-7605,6817376,20150518,20162006,10212017
5/8/2015,CHEV,4D,,GRY,6312059,IL,10300 S. Doty,(773) 568-8495,2763718,20150518,20162006,10212017
5/8/2015,CHEV,4D,,SIL,V608248,IL,10300 S. Doty,(773) 568-8495,2763708,20150518,20162006,10212017
5/8/2015,CHEV,TC,,WHI,97057NB,IL,701 N. Sacramento,(773) 265-7605,6817367,20150518,20162006,10212017
5/8/2015,CHEV,VC,,TAN,E340746,IL,701 N. Sacramento,(773) 265-7605,6817352,20150518,20162006,10212017
5/8/2015,CHRY,VC,,WHI,S491531,IL,701 N. Sacramento,(773) 265-7605,6817350,20150518,20162006,10212017
5/8/2015,CHRY,VN,,WHI,DWS4812,TX,400 E. Lower Wacker,(312) 744-7550,925888,20150518,20162006,10212017
5/8/2015,DODG,4D,,GRY,S928802,IL,701 N. Sacramento,(773) 265-7605,6817368,20150518,20162006,10212017
5/8/2015,DODG,4D,,WHI,K202815,IL,701 N. Sacramento,(773) 265-7605,6817345,20150518,20162006,10212017
5/8/2015,DODG,VN,,PLE,S777048,IL,701 N. Sacramento,(773) 265-7605,6817355,20150518,20162006,10212017
5/8/2015,DODG,VN,,SIL,L704846,IL,10300 S. Doty,(773) 568-8495,2763719,20150518,20162006,10212017
5/8/2015,FORD,2D,,WHI,992R595,IL,10300 S. Doty,(773) 568-8495,2763729,20150518,20162006,10212017
5/8/2015,FORD,2D,,RED,R506576,IL,701 N. Sacramento,(773) 265-7605,6817360,20150518,20162006,10212017
5/8/2015,FORD,2D,,RED,V815540,IL,10300 S. Doty,(773) 568-8495,2763732,20150518,20162006,10212017
5/8/2015,FORD,4D,,BLU,L168670,IL,10300 S. Doty,(773) 568-8495,2763723,20150518,20162006,10212017
5/8/2015,FORD,4D,,WHI,5908895,IL,400 E. Lower Wacker,(312) 744-7550,925886,20150518,20162006,10212017
5/8/2015,FORD,4D,,BLK,P625239,IL,701 N. Sacramento,(773) 265-7605,6817362,20150518,20162006,10212017
5/8/2015,FORD,4D,TAU,TAN,V375939,IL,701 N. Sacramento,(773) 265-7605,6817378,20150518,20162006,10212017
5/8/2015,FORD,LL,,RED,PHAN,IL,400 E. Lower Wacker,(312) 744-7550,925893,20150518,20162006,10212017
5/8/2015,FORD,LL,,BLU,S222687,IL,701 N. Sacramento,(773) 265-7605,6817369,20150518,20162006,10212017
5/8/2015,FORD,PK,,BLK,LH4754,WI,10300 S. Doty,(773) 568-8495,2763714,20150518,,10212017
5/8/2015,FORD,PK,,BLK,1274125,IL,10300 S. Doty,(773) 568-8495,2763720,20150518,,
5/8/2015,FORD,VC,,GRY,R191829,IL,701 N. Sacramento,(773) 265-7605,6817340,20150518,,
5/8/2015,GMC,LL,,GRY,R343394,IL,10300 S. Doty,(773) 568-8495,2763724,20150518,,
5/8/2015,GMC,LL,,BLU,V838374,IL,701 N. Sacramento,(773) 265-7605,6817373,20150518,,
5/8/2015,GMC,LL,TK,BLK,V143652,IL,10300 S. Doty,(773) 568-8495,2763717,20150518,,
5/8/2015,GMC,LL,,WHI,E605073,IL,701 N. Sacramento,(773) 265-7605,6817361,20150518,,
